node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now,throughput1,throughput2
fd00::202:2:2:2,18,0,2,7,1116125,105,107,60,12,17906,100,-64,109,212,60,25,0,9723,1116150,2,2
fd00::202:2:2:2,18,0,2,7,1126656,106,109,60,12,14917,100,-64,110,215,60,134,0,7528,1126790,1,1
fd00::202:2:2:2,18,0,2,7,1137187,107,110,60,12,16394,100,-64,111,217,60,243,0,8337,1137430,1,1
fd00::202:2:2:2,18,0,2,7,1147717,108,111,60,12,12625,100,-64,112,219,60,213,0,6382,1147930,1,1
fd00::202:2:2:2,18,0,2,7,1158248,109,113,60,12,4735,100,-64,113,222,60,42,0,2507,1158290,0,0
fd00::202:2:2:2,18,0,2,7,1168780,110,114,60,12,1945,100,-64,114,224,60,10,0,1602,1168790,0,0
fd00::202:2:2:2,18,0,2,7,1179309,111,115,60,12,764,100,-64,115,226,60,331,0,1117,1179640,0,0
fd00::202:2:2:2,18,0,2,7,1189841,112,116,60,12,74,100,-64,116,228,60,19,0,737,1189860,0,0
fd00::202:2:2:2,18,0,2,7,1200372,113,117,60,12,2814,100,-64,118,230,60,58,0,1687,1200430,1,1
fd00::202:2:2:2,18,0,1,8,1210903,114,118,60,12,3174,100,-64,119,232,60,1007,0,1762,1211910,1,1
fd00::202:2:2:2,18,0,2,7,1221435,115,119,60,12,3324,100,-64,120,234,60,65,0,1837,1221500,1,1
fd00::202:2:2:2,18,0,2,7,1231965,116,119,60,12,3324,100,-64,121,235,60,105,0,1837,1232070,2,2
fd00::202:2:2:2,18,0,2,7,1242496,117,120,60,12,15446,100,-64,122,237,60,74,0,7828,1242570,2,2
fd00::202:2:2:2,18,0,3,6,1253028,118,121,60,12,14616,100,-64,123,239,60,42,0,9093,1253070,2,2
fd00::202:2:2:2,18,0,2,7,1263559,119,123,60,12,12674,100,-64,124,242,60,11,0,6442,1263570,1,1
fd00::202:2:2:2,18,0,1,7,1274088,120,123,60,12,12674,100,-64,125,243,60,52,0,6442,1274140,2,2
fd00::202:2:2:2,18,0,1,8,1284620,121,124,60,12,16466,100,-64,126,245,60,20,0,8583,1284640,2,2
fd00::202:2:2:2,18,0,1,8,1295152,122,126,60,12,13894,100,-64,127,248,60,338,0,7262,1295490,1,1
fd00::202:2:2:2,18,0,1,8,1305682,123,126,60,12,13894,100,-64,128,249,60,168,0,7262,1305850,2,2
fd00::202:2:2:2,18,0,1,8,1316213,124,127,60,12,17896,100,-64,129,251,60,417,0,9368,1316630,2,2
fd00::202:2:2:2,18,0,1,8,1326744,125,128,60,12,22524,100,-64,130,253,60,36,0,11437,1326780,2,2
fd00::202:2:2:2,18,0,1,9,1337276,126,129,60,12,23304,100,-64,131,255,60,74,0,11722,1337350,2,2
fd00::202:2:2:2,18,0,3,6,1347807,127,131,60,12,15624,100,-64,132,258,60,43,0,8057,1347850,1,1
fd00::202:2:2:2,18,0,2,7,1358338,128,132,60,12,16754,100,-64,133,260,60,12,0,8552,1358350,1,1
fd00::202:2:2:2,18,0,1,8,1368868,129,133,60,12,15646,100,-64,134,262,60,52,0,7893,1368920,1,1
fd00::202:2:2:2,18,0,1,8,1379400,130,134,60,12,13625,100,-64,135,264,60,230,0,7232,1379630,1,1
fd00::202:2:2:2,18,0,1,8,1389930,131,136,60,12,3144,100,-64,137,267,60,70,0,1747,1390000,1,1
fd00::202:2:2:2,18,0,0,8,1400462,132,138,60,12,14,100,-64,138,270,60,378,0,392,1400840,0,0
fd00::202:2:2:2,18,0,1,9,1410993,133,139,60,12,24,100,-64,139,272,60,67,0,187,1411060,0,0
fd00::202:2:2:2,18,0,1,8,1421523,134,140,60,12,34,100,-64,140,274,60,37,0,157,1421560,0,0
fd00::202:2:2:2,18,0,0,9,1432055,135,140,60,12,34,100,-64,141,275,60,75,0,157,1432130,1,1
fd00::202:2:2:2,18,0,1,8,1442586,136,142,60,12,1666,100,-64,142,278,60,44,0,1008,1442630,0,0
fd00::202:2:2:2,18,0,1,8,1453117,137,143,60,12,1464,100,-64,143,280,60,1903,0,1502,1455020,0,0
fd00::202:2:2:2,18,0,1,8,1463646,138,143,60,12,1464,100,-64,144,281,60,124,0,1502,1463770,1,1
fd00::202:2:2:2,18,0,2,7,1474179,139,145,60,12,3654,100,-64,145,284,60,21,0,2037,1474200,0,0
fd00::202:2:2:2,18,0,1,8,1484710,140,146,60,12,94,100,-64,146,286,60,410,0,152,1485120,0,0
fd00::202:2:2:2,18,0,1,9,1495241,141,147,60,12,2694,100,-64,147,288,60,29,0,1522,1495270,0,0
fd00::202:2:2:2,18,0,0,10,1505771,142,147,60,12,2694,100,-64,148,289,60,69,0,1522,1505840,1,1
fd00::202:2:2:2,18,0,0,10,1516302,143,147,60,12,2694,100,-64,149,290,60,38,0,1522,1516340,2,2
