node,cpu_mj,total_mj,latency_ms,volume_B,response_ms,throughput_bps,root_time_now
fd00::203:3:3:3,18,26,154,24576,1134,592,3501190
fd00::203:3:3:3,18,26,584,24648,934,616,3511060
fd00::203:3:3:3,18,26,244,24720,874,659,3521070
fd00::203:3:3:3,18,26,185,24792,1655,348,3531850
fd00::203:3:3:3,18,26,194,24864,1244,463,3541650
fd00::203:3:3:3,18,26,204,24936,554,1039,3552150
fd00::203:3:3:3,18,26,214,25008,354,1627,3562160
fd00::203:3:3:3,18,26,154,25080,1484,388,3572380
fd00::203:3:3:3,18,26,164,25152,1214,474,3582670
fd00::203:3:3:3,18,26,174,25224,1504,382,3592960
fd00::204:4:4:4,95,636,0,60,1,480000,52850
fd00::204:4:4:4,19,27,424,132,634,908,63420
fd00::204:4:4:4,19,27,434,204,574,1003,73920
fd00::204:4:4:4,19,27,584,276,1424,404,84490
fd00::204:4:4:4,19,27,314,348,664,867,95060
fd00::204:4:4:4,19,27,464,420,884,651,105630
fd00::204:4:4:4,19,27,404,492,824,699,116200
fd00::204:4:4:4,19,27,834,564,1464,393,126770
fd00::204:4:4:4,19,27,287,636,1197,481,137270
fd00::204:4:4:4,19,27,364,708,1484,388,147840
fd00::204:4:4:4,19,27,444,780,934,616,158410
fd00::204:4:4:4,19,27,594,852,1364,422,169050
fd00::204:4:4:4,19,27,534,924,1724,334,179480
fd00::204:4:4:4,19,28,334,996,1244,463,192780
fd00::204:4:4:4,19,27,214,1080,2034,330,202090
fd00::204:4:4:4,19,27,434,1152,2044,281,212660
fd00::204:4:4:4,19,27,234,1224,1354,425,221760
fd00::204:4:4:4,19,27,244,1296,1294,445,232260
fd00::204:4:4:4,19,27,394,1368,1164,494,242830
fd00::204:4:4:4,19,27,404,1440,1104,521,253400
fd00::204:4:4:4,19,27,974,1512,1394,413,263970
fd00::204:4:4:4,19,27,424,1584,1054,546,274540
fd00::204:4:4:4,19,27,574,1656,2604,221,285040
fd00::204:4:4:4,19,27,234,1728,1144,503,295610
fd00::204:4:4:4,19,27,314,1800,1224,470,306180
fd00::204:4:4:4,19,27,324,1872,1654,348,316750
fd00::204:4:4:4,19,27,474,1944,1944,296,327320
fd00::204:4:4:4,19,27,274,2016,2024,284,337820
fd00::204:4:4:4,19,27,564,2088,1614,356,348390
fd00::204:4:4:4,19,27,854,2160,1764,326,358960
fd00::204:4:4:4,19,27,304,2232,1494,385,369530
fd00::204:4:4:4,19,27,944,2304,1154,499,382970
fd00::204:4:4:4,19,27,3124,2376,3754,153,391580
fd00::204:4:4:4,19,27,414,2460,1394,482,401450
fd00::204:4:4:4,19,27,1054,2532,1474,390,411740
fd00::204:4:4:4,19,27,434,2604,1344,428,422310
fd00::204:4:4:4,19,27,374,2676,1074,536,432880
fd00::204:4:4:4,19,27,594,2748,2624,219,443450
fd00::204:4:4:4,19,27,604,2820,884,651,454020
